52,52,The Pack – Pets,Chattanooga,CxRHGA@gmail.com
53,53,Of the Chain,Modesto,sSvvEcJJLD@gmail.com
54,54,The Cat Network,Glendale,XvineyVPLG@gmail.com
55,55,Kitten Associates,Santa Rosa,HCDgDfMjIf@gmail.com
56,56,Tails of the Beast,Grand Rapids,uGxbODHjPA@gmail.com
57,57,Urban Tails,Milwaukee,ZUINjjefdP@gmail.com
58,58,Fuzzy Wuzzy,Eugene,YIbtpu@gmail.com
59,59,New Beginnings,Portsmouth,viFtxSS@gmail.com
60,60,Little Paws,Des Moines,KTiYAyYr@gmail.com
61,61,True Companions,San Mateo,iBMEGcjMCd@gmail.com
62,62,Maw and Paw,Ontario,zbWBCAq@gmail.com
63,63,Pooch Parlor,Cape Coral,GRxggDgvVc@gmail.com
64,64,The Pack – Pets,Springfield,CkGazBqvI@gmail.com
65,65,Fur the Herd,Salem,tvKUwnJSer@gmail.com
66,66,The Pack – Pets,Tucson,PIUHA@gmail.com
67,67,Hope is On!,Detroit,EDrST@gmail.com
68,68,The Kitten House,Santa Rosa,myAUieiK@gmail.com
69,69,Wild Wagging,Metairie,LIAMWV@gmail.com
70,70,Beyond the Border,Sacramento,oSguZAdew@gmail.com
71,71,Warrior Canines,Metairie,MZKAtBztM@gmail.com
72,72,Paws for Applause,Birmingham,gsoasb@gmail.com
73,73,Heavy Petting,New Haven,xKyoBq@gmail.com
74,74,The Barkery,Fall River,qTzBQK@gmail.com
75,75,Pampered Paws,Virginia Beach,PhWziXzOdB@gmail.com
76,76,The Happy Wag,Garland,FKbIcG@gmail.com
77,77,The Happy Wag,Paradise,RCYzOpjeng@gmail.com
78,78,Who’s the Paws?,Green Bay,VPxcnLepOy@gmail.com
79,79,Helping Out Pets,Baltimore,KgoZx@gmail.com
80,80,Pets for the Elderly,Washington,RVywydtl@gmail.com
81,81,The Fresh Paws,New Bedford,ysREjXNx@gmail.com
82,82,Safe Heaven,Oxnard,tvWXCO@gmail.com
83,83,Mucky Pups,Tampa,ZiVviQ@gmail.com
84,84,Red Rover,Elgin,fbhxxuRIay@gmail.com
85,85,Guide Dogs,Reno,TbLiYt@gmail.com
86,86,Pure Mutts,Little Rock,ExmDYXdN@gmail.com
87,87,Patriot PAWS,San Mateo,pAmkI@gmail.com
88,88,Mucky Pups,Overland Park,fVZeg@gmail.com
89,89,The Fresh Paws,Beaumont,yrAQOz@gmail.com
90,90,Patriot PAWS,Lansing,RSAnL@gmail.com
91,91,The Happy Wag,Laredo,iuWSuCW@gmail.com
92,92,Underdog Rescue,Elizabeth,oHUTzRGkR@gmail.com
93,93,North Shore Shelters,Gary,tUjsK@gmail.com
94,94,Underdog Rescue,Knoxville,JRaqNRYrvd@gmail.com
95,95,K9 Couture,Houston,bzfiQWWvlK@gmail.com
96,96,The Fresh Paws,Rockford,qQVhdIR@gmail.com
97,97,Yuppie Puppy,Henderson,vcUgRjyC@gmail.com
98,98,Red Rover,Orlando,PhvhT@gmail.com
99,99,Beyond the Border,Paterson,iUTCNYe@gmail.com
100,100,Eden for Pups,Birmingham,igehs@gmail.com
