39,Pampered Paws,Peoria,TNMBJvDjwm@gmail.com
40,Raise the Woof,Chula Vista,LJOmc@gmail.com
41,The Squirrel!,Anchorage,trecq@gmail.com
42,Special Pals,San Mateo,PDZCvg@gmail.com
43,Pooch Parlor,Albany,gGLBCJ@gmail.com
44,Guardian Angels,Aurora,oDDOD@gmail.com
45,Maw and Paw,Toledo,fTQancCWvs@gmail.com
46,True Companions,Jackson,TXtrF@gmail.com
47,Mucky Pups,Hollywood,pRhcpU@gmail.com
48,Tails of the Beast,Cary,qmpGHypqpY@gmail.com
49,Yuppie Puppy,Winston-Salem,IHNBFmJ@gmail.com
50,The Lily Pad Shelter,Lowell,jItLekwum@gmail.com
51,Guide Dogs,Newport News,wnErw@gmail.com
52,The Fresh Paws,Raleigh,LaPJEtdNn@gmail.com
53,Pets for the Elderly,Visalia,MobnD@gmail.com
54,Shear Critters,San Francisco,utrGJYYIq@gmail.com
55,Pets for the Elderly,Fairfield,qkOie@gmail.com
56,Guide Dogs,Berkeley,DpNIeJL@gmail.com
57,Posh Paws,Springfield,CwQUqmdQ@gmail.com
58,Wild Wagging,Costa Mesa,TFgGLT@gmail.com
59,Wags and Walks,Salt Lake City,DnYNQx@gmail.com
60,Pets for the Elderly,Lancaster,yEIred@gmail.com
61,Wags and Walks,Boulder,SeIrRAc@gmail.com
62,Fuzzy Wuzzy,Citrus Heights,aQmWLvHCr@gmail.com
63,North Shore Shelters,North Las Vegas,aURfKt@gmail.com
64,Of the Chain,New Orleans,YQBfRz@gmail.com
65,Pampered Paws,Bakersfield,gcSXO@gmail.com
66,True Companions,Memphis,xVKsZignos@gmail.com
67,Tails of the Beast,Knoxville,rFuAHCPHI@gmail.com
68,Save a Pet,Clearwater,aeTlXuQLp@gmail.com
69,Wags and Walks,Corpus Christi,utHSiP@gmail.com
70,Guardian Angels,Santa Rosa,mWrSRzdmvH@gmail.com
71,Special Pals,Salem,rybpVxUtwm@gmail.com
72,Thy Kingdom,Billings,SNOCyqeLg@gmail.com
73,The Squirrel!,Inglewood,MmeNlpLR@gmail.com
74,Yuppie Puppy,Orlando,zcXPnBHWQK@gmail.com
75,Puppy Paws,Miami,qgaxMIpNs@gmail.com
76,Pretty Paws,San Diego,qCClxLmHL@gmail.com
77,Pets for the Elderly,Fairfield,iHaSeFqTE@gmail.com
78,Pawing Packs,Mesa,RjwQidxjF@gmail.com
79,True Companions,Gary,bbhMx@gmail.com
80,Special Pals,Dayton,BfPEQO@gmail.com
81,Pawsitive Attitude,Torrance,dIKdaf@gmail.com
82,The Barkery,Flint,BJsFLrgb@gmail.com
83,Pawing Packs,Honolulu,dqxvnbHf@gmail.com
84,Pure Mutts,Ann Arbor,jRGZIw@gmail.com
85,Underdog Rescue,Jacksonville,iJGWc@gmail.com
86,Perfect Touch Shelters,Seattle,DGhfSKSCxh@gmail.com
87,Fuzzy Wuzzy,Charleston,weiuIITg@gmail.com
88,True Companions,Mesquite,YzPIPaqzUp@gmail.com
89,Pretty Paws,Garden Grove,KSvXZslJ@gmail.com
90,Little Paws,San Bernardino,OlwKlt@gmail.com
91,Thy Kingdom,Kansas City,HgVruA@gmail.com
92,Pampered Paws,Huntington Beach,iSzln@gmail.com
93,North Shore Shelters,Bellevue,CmYaXCRrF@gmail.com
94,Kitten Associates,Jackson,SljydQub@gmail.com
95,The Happy Wag,Allentown,vvWdRJ@gmail.com
96,Hope is On!,Lowell,stGGaJIf@gmail.com
97,Beyond the Border,Aurora,lmaxTW@gmail.com
98,Furry Tales,Birmingham,oLaCv@gmail.com
99,Who’s the Paws?,Brockton,fuBeINNJ@gmail.com
100,Little Paws,Toledo,RXitbr@gmail.com
